kepid,koi_disposition,koi_period,koi_duration,koi_depth,koi_impact,koi_model_snr,koi_num_transits,koi_ror,koi_prad,st_teff,st_logg,st_met,st_mass,st_radius,st_dens,teff_err1,teff_err2,logg_err1,logg_err2,feh_err1,feh_err2,mass_err1,mass_err2,radius_err1,radius_err2
3453214,CANDIDATE,19.620346923,2.0038,21724.6,0.458,340.5,52.0,0.137595,13.6,5733.0,4.548,-0.2,0.8865000000000001,0.872,2.185,83.0,-85.0,0.048,-0.133,0.15,-0.15,0.0765,-0.069,0.188,-0.061
3554600,FALSE POSITIVE,7.544039,6.222,322.6,1.175,14.2,143.0,0.194187,17.47,5648.0,4.567,-0.2,0.9087,0.824,2.3135,152.0,-150.0,0.038,-0.19,0.3,-0.26,0.0885,-0.09665,0.295,-0.078
3641726,CONFIRMED,9.02930689,3.1449,1019.8,0.024,53.9,146.0,0.028718,2.57,5349.0,4.526,-0.12,0.824,0.82,2.101,167.0,-148.0,0.063,-0.221,0.3,-0.26,0.105,-0.07555,0.287,-0.082
3734868,FALSE POSITIVE,10.328035714,7.7915,16917.7,0.281,636.8,114.0,0.118805,13.28,5627.0,4.359,-0.1,0.874,1.024,1.146,168.0,-147.0,0.18,-0.238,0.28,-0.24,0.1255,-0.0682,0.375,-0.186
3832474,CONFIRMED,143.2063047,8.9302,10565.7,0.379,138.8,9.0,0.094044,8.9,5485.0,4.556,0.21,0.986,0.867,2.133,98.0,-112.0,0.014,-0.094,0.11,-0.17,0.0317,-0.0806,0.092,-0.037
8395660,CONFIRMED,6.164876,3.262,55.8,0.646,14.4,207.0,0.007192,0.79,5854.0,4.406,-0.12,0.951,1.012,1.294,106.0,-117.0,0.09,-0.142,0.15,-0.14,0.07,-0.06335,0.186,-0.103
3832474,CONFIRMED,60.32494216,6.6188,20280.4,0.224,347.2,22.0,0.128744,12.19,5485.0,4.556,0.21,0.986,0.867,2.133,98.0,-112.0,0.014,-0.094,0.11,-0.17,0.0317,-0.0806,0.092,-0.037
3832474,CONFIRMED,29.1598615,4.803,488.0,0.3619,11.6,,0.02018,1.91,5485.0,4.556,0.21,0.986,0.867,2.133,98.0,-112.0,0.014,-0.094,0.11,-0.17,0.0317,-0.0806,0.092,-0.037
3836375,FALSE POSITIVE,1.540397253,2.1541,816.1,1.225,38.8,842.0,0.257087,25.69,5663.0,4.53,0.21,1.034,0.915,1.901,171.0,-174.0,0.036,-0.238,0.15,-0.29,0.112,-0.1212,0.361,-0.083
3838486,FALSE POSITIVE,2.99025443,5.414,589.2,0.014,48.5,454.0,0.021279,1.7,4667.0,4.578,0.1,0.737,0.731,2.658,140.0,-136.0,0.036,-0.028,0.25,-0.28,0.0605,-0.05885,0.042,-0.056
3935914,CONFIRMED,1.594745374,1.9604,15044.5,0.514,1009.3,762.0,0.115879,11.3,5934.0,4.491,-0.38,0.901,0.893,1.784,160.0,-168.0,0.065,-0.229,0.3,-0.28,0.11395,-0.0895,0.368,-0.105
3940418,CONFIRMED,4.783002698,2.335,1008.7,0.003,70.6,281.0,0.028315,2.5,5170.0,4.574,0.18,0.891,0.807,2.384,155.0,-145.0,0.026,-0.151,0.2,-0.26,0.0588,-0.082,0.182,-0.06
4049131,CONFIRMED,20.50588921,4.0595,2105.5,0.26,78.5,69.0,0.041039,3.41,4905.0,4.544,-0.04,0.739,0.761,2.361,148.0,-127.0,0.072,-0.124,0.3,-0.26,0.1034,-0.056,0.159,-0.071
4139816,CONFIRMED,3.340218842,1.9104,1632.6,0.466,71.6,398.0,0.037683,2.03,3950.0,4.754,-0.46,0.504,0.493,5.9255,79.0,-86.0,0.042,-0.031,0.12,-0.12,0.0315,-0.038,0.033,-0.04
